       Step     Time          Energy         fmax
       Step     Time          Energy         fmax
GPMin:    0 21:17:05       -4.232239        0.2050
GPMin:    1 21:17:10       -4.295127        0.2419
GPMin:    2 21:17:16       -4.399890        0.2150
GPMin:    3 21:17:22       -4.494864        0.2095
GPMin:    4 21:17:28       -4.578613        0.1301
GPMin:    5 21:17:33       -4.630933        0.1317
GPMin:    6 21:17:38       -4.686501        0.1315
GPMin:    7 21:17:43       -4.732553        0.1061
GPMin:    8 21:17:47       -4.760957        0.0802
GPMin:    9 21:17:52       -4.778762        0.0759
GPMin:   10 21:17:56       -4.797484        0.0899
GPMin:   11 21:18:01       -4.819989        0.0743
GPMin:   12 21:18:07       -4.842843        0.0837
GPMin:   13 21:18:11       -4.871799        0.0766
GPMin:   14 21:18:16       -4.899883        0.0690
GPMin:   15 21:18:21       -4.918345        0.0641
GPMin:   16 21:18:26       -4.927026        0.0511
GPMin:   17 21:18:30       -4.929976        0.0296
GPMin:   18 21:18:34       -4.931561        0.0191
       Step     Time          Energy         fmax
GPMin:    0 21:18:46       -4.765397        0.1686
GPMin:    1 21:18:52       -4.777013        0.2205
GPMin:    2 21:19:03       -4.797474        0.0742
GPMin:    3 21:19:08       -4.798385        0.1192
GPMin:    4 21:19:14       -4.810830        0.0759
GPMin:    5 21:19:19       -4.821400        0.0535
GPMin:    6 21:19:25       -4.835869        0.0675
GPMin:    7 21:19:30       -4.846909        0.1531
GPMin:    8 21:19:35       -4.856426        0.1203
GPMin:    9 21:19:40       -4.863321        0.1140
GPMin:   10 21:19:45       -4.876744        0.0880
GPMin:   11 21:19:49       -4.887075        0.0423
GPMin:   12 21:19:54       -4.889740        0.0216
GPMin:   13 21:19:58       -4.890163        0.0072
       Step     Time          Energy         fmax
GPMin:    0 21:20:11       -4.232239        0.2051
GPMin:    1 21:20:17       -4.295096        0.2421
GPMin:    2 21:20:23       -4.399877        0.2150
GPMin:    3 21:20:29       -4.494844        0.2095
GPMin:    4 21:20:35       -4.578580        0.1301
GPMin:    5 21:20:40       -4.630889        0.1317
GPMin:    6 21:20:45       -4.686465        0.1315
GPMin:    7 21:20:50       -4.732529        0.1061
GPMin:    8 21:20:55       -4.760949        0.0802
GPMin:    9 21:20:59       -4.778760        0.0759
GPMin:   10 21:21:04       -4.797480        0.0899
GPMin:   11 21:21:09       -4.819982        0.0743
GPMin:   12 21:21:14       -4.842833        0.0837
GPMin:   13 21:21:19       -4.871792        0.0766
GPMin:   14 21:21:24       -4.899880        0.0690
GPMin:   15 21:21:29       -4.918344        0.0641
GPMin:   16 21:21:34       -4.927027        0.0511
GPMin:   17 21:21:38       -4.929975        0.0296
GPMin:   18 21:21:41       -4.931562        0.0191
       Step     Time          Energy         fmax
GPMin:    0 21:21:49       -4.789431        0.2431
GPMin:    1 21:21:55       -4.840313        0.2065
GPMin:    2 21:22:00       -4.870024        0.1211
GPMin:    3 21:22:06       -4.883752        0.0841
GPMin:    4 21:22:15       -4.889458        0.0251
GPMin:    5 21:22:19       -4.889825        0.0131
       Step     Time          Energy         fmax
GPMin:    0 21:22:27       -4.435574        0.1548
GPMin:    1 21:22:33       -4.465276        0.0907
GPMin:    2 21:22:42       -4.490626        0.0904
GPMin:    3 21:22:47       -4.523899        0.0988
GPMin:    4 21:22:52       -4.578140        0.1156
GPMin:    5 21:22:56       -4.650405        0.1304
GPMin:    6 21:23:01       -4.732252        0.1304
GPMin:    7 21:23:06       -4.802186        0.0979
GPMin:    8 21:23:10       -4.838693        0.0754
GPMin:    9 21:23:15       -4.853397        0.0764
GPMin:   10 21:23:19       -4.873794        0.0709
GPMin:   11 21:23:23       -4.895068        0.0548
GPMin:   12 21:23:28       -4.909991        0.0547
GPMin:   13 21:23:32       -4.922139        0.0485
GPMin:   14 21:23:36       -4.929266        0.0266
GPMin:   15 21:23:40       -4.931791        0.0177
       Step     Time          Energy         fmax
GPMin:    0 21:23:47       -4.435375        0.1633
GPMin:    1 21:23:52       -4.440023        0.1692
GPMin:    2 21:23:57       -4.445011        0.1015
GPMin:    3 21:24:02       -4.459766        0.0973
GPMin:    4 21:24:07       -4.468692        0.0146
       Step     Time          Energy         fmax
GPMin:    0 21:24:21       -3.802847        0.3550
GPMin:    1 21:24:27       -4.012867        0.2851
GPMin:    2 21:24:32       -4.131684        0.1766
GPMin:    3 21:24:38       -4.200582        0.1989
GPMin:    4 21:24:42       -4.278154        0.2351
GPMin:    5 21:24:47       -4.361308        0.2457
GPMin:    6 21:24:52       -4.453877        0.2316
GPMin:    7 21:24:58       -4.533311        0.1805
GPMin:    8 21:25:03       -4.582125        0.1464
GPMin:    9 21:25:08       -4.632669        0.1531
GPMin:   10 21:25:13       -4.698433        0.1535
GPMin:   11 21:25:18       -4.760770        0.1575
GPMin:   12 21:25:23       -4.818777        0.1464
GPMin:   13 21:25:28       -4.856977        0.1152
GPMin:   14 21:25:33       -4.876540        0.0862
GPMin:   15 21:25:38       -4.887924        0.1077
GPMin:   16 21:25:43       -4.900464        0.1022
GPMin:   17 21:25:47       -4.912269        0.0753
GPMin:   18 21:25:52       -4.920473        0.0456
GPMin:   19 21:25:56       -4.924223        0.0331
GPMin:   20 21:26:00       -4.926688        0.0474
GPMin:   21 21:26:05       -4.929430        0.0375
GPMin:   22 21:26:09       -4.930700        0.0264
GPMin:   23 21:26:13       -4.931742        0.0218
GPMin:   24 21:26:17       -4.932618        0.0214
GPMin:   25 21:26:22       -4.933221        0.0168
       Step     Time          Energy         fmax
GPMin:    0 21:26:34       -4.415724        0.3749
GPMin:    1 21:26:39       -4.462181        0.1364
GPMin:    2 21:26:44       -4.480702        0.0870
GPMin:    3 21:26:50       -4.529078        0.1307
GPMin:    4 21:26:54       -4.601282        0.1368
GPMin:    5 21:26:59       -4.689463        0.1608
GPMin:    6 21:27:04       -4.783705        0.1764
GPMin:    7 21:27:09       -4.860840        0.1635
GPMin:    8 21:27:14       -4.902148        0.1054
GPMin:    9 21:27:18       -4.912725        0.0588
GPMin:   10 21:27:22       -4.918886        0.0430
GPMin:   11 21:27:26       -4.925530        0.0354
GPMin:   12 21:27:31       -4.928118        0.0274
GPMin:   13 21:27:35       -4.930320        0.0227
GPMin:   14 21:27:38       -4.932928        0.0146
       Step     Time          Energy         fmax
GPMin:    0 21:27:46       -4.703517        0.3575
GPMin:    1 21:27:51       -4.746429        0.2633
GPMin:    2 21:27:57       -4.758036        0.2102
GPMin:    3 21:28:02       -4.786688        0.0716
GPMin:    4 21:28:08       -4.794472        0.0636
GPMin:    5 21:28:12       -4.801597        0.0679
GPMin:    6 21:28:16       -4.806284        0.0340
GPMin:    7 21:28:21       -4.809065        0.0638
GPMin:    8 21:28:27       -4.813566        0.1482
GPMin:    9 21:28:32       -4.833001        0.0832
GPMin:   10 21:28:37       -4.848636        0.1100
GPMin:   11 21:28:42       -4.862946        0.0907
GPMin:   12 21:28:47       -4.870544        0.0752
GPMin:   13 21:28:51       -4.878339        0.0569
GPMin:   14 21:28:56       -4.886860        0.0403
GPMin:   15 21:29:00       -4.889564        0.0129
       Step     Time          Energy         fmax
GPMin:    0 21:29:08       -4.405353        0.1809
GPMin:    1 21:29:13       -4.438194        0.0982
GPMin:    2 21:29:23       -4.456607        0.0674
GPMin:    3 21:29:29       -4.456927        0.0747
GPMin:    4 21:29:33       -4.465084        0.0569
GPMin:    5 21:29:38       -4.465959        0.0761
GPMin:    6 21:29:56       -4.471031        0.0838
GPMin:    7 21:30:01       -4.495609        0.0938
GPMin:    8 21:30:06       -4.546243        0.1192
GPMin:    9 21:30:11       -4.624927        0.1403
GPMin:   10 21:30:15       -4.713881        0.1653
GPMin:   11 21:30:20       -4.804635        0.1660
GPMin:   12 21:30:24       -4.872586        0.1301
GPMin:   13 21:30:29       -4.902904        0.0739
GPMin:   14 21:30:34       -4.912945        0.0947
GPMin:   15 21:30:39       -4.925630        0.0662
GPMin:   16 21:30:43       -4.931542        0.0241
GPMin:   17 21:30:47       -4.932991        0.0173
       Step     Time          Energy         fmax
GPMin:    0 21:30:56       -4.488781        0.3092
GPMin:    1 21:31:01       -4.542134        0.2087
GPMin:    2 21:31:07       -4.615180        0.1702
GPMin:    3 21:31:11       -4.684406        0.1878
GPMin:    4 21:31:16       -4.753030        0.1651
GPMin:    5 21:31:21       -4.804526        0.1079
GPMin:    6 21:31:26       -4.829572        0.0728
GPMin:    7 21:31:31       -4.849436        0.1002
GPMin:    8 21:31:35       -4.876478        0.0781
GPMin:    9 21:31:40       -4.904323        0.0711
GPMin:   10 21:31:45       -4.925145        0.0400
GPMin:   11 21:31:49       -4.931909        0.0167
       Step     Time          Energy         fmax
GPMin:    0 21:32:11       -4.530402        0.5790
GPMin:    1 21:32:16       -4.776220        0.2048
GPMin:    2 21:32:21       -4.831897        0.1482
GPMin:    3 21:32:26       -4.866201        0.1053
GPMin:    4 21:32:31       -4.879660        0.0467
GPMin:    5 21:32:36       -4.884698        0.0358
GPMin:    6 21:32:40       -4.888673        0.0175
       Step     Time          Energy         fmax
GPMin:    0 21:32:48       -4.258917        0.4581
GPMin:    1 21:32:53       -4.424362        0.3047
GPMin:    2 21:32:59       -4.565859        0.2429
GPMin:    3 21:33:04       -4.686197        0.1881
GPMin:    4 21:33:09       -4.770258        0.1419
GPMin:    5 21:33:15       -4.817309        0.0985
GPMin:    6 21:33:20       -4.840343        0.0765
GPMin:    7 21:33:24       -4.852478        0.0585
GPMin:    8 21:33:29       -4.862106        0.0633
